,ts_code,cluster_id
2769,600664,184
455,2011,184
2619,600490,184
1451,300063,184
543,2102,184
1517,300131,184
271,751,185
2335,600127,185
2670,600550,185
2829,600734,185
2395,600198,185
327,835,185
230,687,185
1661,300278,185
2485,600306,185
1111,2684,186
83,420,186
792,2356,186
2463,600280,186
1639,300256,186
243,707,186
487,2044,186
2418,600225,186
1570,300185,186
861,2426,186
1679,300296,187
2492,600313,187
2901,600815,187
335,852,187
905,2471,187
7,10,188
1459,300071,188
220,673,188
2820,600725,188
898,2464,188
158,585,188
825,2390,188
2527,600358,188
2364,600162,189
316,820,189
2563,600399,190
871,2436,190
1756,300376,190
1108,2681,190
645,2206,190
374,911,190
2977,600903,190
2480,600300,190
1416,300026,190
2861,600769,191
955,2524,191
509,2066,191
2907,600822,191
101,509,191
2758,600651,192
1211,2793,192
2511,600336,192
21,30,192
972,2542,193
2441,600252,193
614,2175,193
2674,600556,193
1140,2716,193
856,2421,193
255,720,193
736,2300,194
3007,600986,194
889,2455,195
790,2354,195
967,2537,196
1496,300110,196
201,637,196
2442,600255,196
427,982,196
1868,300489,197
2909,600824,197
1738,300355,197
881,2446,197
3129,688313,197
1411,300021,197
2016,300641,197
1060,2631,197
2650,600526,197
733,2297,197
1617,300234,198
1698,300315,198
2867,600776,198
2717,600602,198
1168,2747,198
506,2063,198
2819,600724,199
2766,600661,199
2939,600860,199
2399,600202,199
663,2225,199
2997,600975,199
914,2481,199
1731,300348,199
1454,300066,199
2630,600503,200
1541,300155,200
1745,300364,200
1673,300290,200
2193,300831,200
1800,300420,200
1599,300215,201
3003,600982,201
2979,600929,201
604,2165,202
293,790,202
1398,300008,202
796,2361,202
1749,300368,202
296,795,202
2387,600189,202
1475,300087,202
227,682,202
212,663,203
2936,600857,203
2318,600107,203
1965,300589,203
2903,600818,203
2206,300846,204
553,2112,204
1455,300067,204
859,2424,204
2945,600866,204
1962,300586,204
1285,2877,204
832,2397,204
291,788,205
1762,300382,205
3161,688505,205
1023,2593,205
1545,300160,205
1564,300179,205
2538,600371,205
1063,2634,205
1888,300509,205
144,561,206
1834,300455,206
1407,300017,206
823,2388,206
2015,300640,206
1823,300444,206
1693,300310,206
697,2261,206
1784,300404,207
1240,2827,207
2958,600880,207
1624,300241,207
165,593,207
640,2201,207
2425,600232,207
1450,300062,207
1938,300561,208
2456,600272,208
1622,300239,208
1914,300536,208
1920,300542,208
1222,2808,208
1571,300187,208
1594,300210,208
531,2090,209
1611,300228,209
908,2474,209
315,819,209
1562,300177,209
769,2333,209
1705,300322,209
1720,300337,210
1684,300301,210
853,2418,210
1085,2656,210
1652,300269,210
1116,2689,210
2525,600355,210
2524,600354,210
1417,300027,210
2649,600525,211
340,861,211
183,615,211
1113,2686,212
1917,300539,212
982,2552,212
1118,2691,212
1871,300492,212
1672,300289,212
2883,600794,213
1392,300002,213
2672,600552,213
1686,300303,213
901,2467,213
979,2549,213
1644,300261,213
946,2515,213
2651,600527,213
2545,600379,213
1079,2650,214
2587,600439,215
502,2059,215
1595,300211,215
2523,600353,216
1662,300279,216
288,782,216
276,757,216
302,801,216
450,2006,216
1106,2678,216
887,2453,216
2512,600337,217
313,816,217
2663,600540,217
947,2516,217
2419,600226,217
39,58,217
980,2550,217
1503,300117,218
2397,600200,218
2852,600759,218
1567,300182,218
720,2284,218
202,638,219
2654,600530,219
1682,300299,219
1008,2578,219
75,409,219
336,856,219
268,737,219
2846,600753,219
1872,300493,219
2603,600468,219
1742,300359,220
2338,600130,220
601,2162,220
2969,600892,220
2564,600400,220
1478,300091,220
956,2526,220
954,2523,220
885,2451,221
2818,600722,221
928,2495,221
606,2167,221
1005,2575,221
1728,300345,221
1129,2702,221
995,2565,221
2431,600238,221
1171,2750,221
1613,300230,222
2788,600689,222
2692,600576,223
2662,600539,223
1700,300317,223
1558,300173,223
2414,600220,224
198,633,224
2859,600767,224
2407,600212,224
2722,600608,224
2481,600301,225
1845,300466,225
310,812,225
1042,2613,225
1660,300277,225
435,996,225
575,2134,225
2464,600281,225
1548,300163,225
910,2476,225
418,971,226
217,669,226
924,2491,226
2797,600698,226
464,2021,226
2794,600695,226
1521,300135,226
2352,600149,226
984,2554,226
919,2486,226
2420,600227,227
699,2263,227
2583,600433,227
2888,600800,227
2609,600478,227
2602,600467,227
573,2132,228
1600,300217,228
1130,2703,228
2528,600359,228
420,973,229
609,2170,229
631,2192,230
1488,300101,230
1408,300018,230
638,2199,230
1084,2655,230
2795,600696,230
159,586,230
1421,300032,230
120,533,230
2453,600268,231
2823,600728,231
1530,300144,232
1715,300332,232
2904,600819,232
669,2231,233
2349,600145,233
16,23,233
1547,300162,233
1608,300225,233
1396,300006,233
1445,300056,233
2192,300830,234
2791,600692,234
599,2160,234
1492,300106,234
1467,300079,234
2,5,235
1630,300247,235
1083,2654,235
2661,600538,235
1827,300448,235
501,2058,235
2885,600796,235
637,2198,235
138,554,235
1790,300410,236
1655,300272,236
766,2330,236
566,2125,236
2311,600099,236
587,2148,236
2754,600647,236
2444,600257,236
863,2428,236
1561,300176,236
1044,2615,237
222,677,237
770,2334,237
724,2288,237
2391,600193,237
1726,300343,237
2612,600481,237
953,2522,237
929,2496,237
2582,600429,238
813,2378,238
130,545,238
210,659,239
721,2285,239
1173,2752,239
1666,300283,240
14,20,240
1361,2969,240
2551,600386,240
2676,600558,240
2784,600684,241
2417,600223,241
2293,600077,241
2642,600517,241
741,2305,241
2777,600675,241
298,797,241
2838,600743,241
2251,600017,242
485,2042,242
457,2013,242
2321,600111,242
986,2556,243
2623,600496,243
2948,600869,243
526,2085,243
142,559,243
516,2075,243
493,2050,243
572,2131,243
505,2062,243
2424,600231,244
258,723,244
2264,600033,244
1605,300222,245
2881,600792,245
1634,300251,245
652,2213,245
1104,2676,245
1465,300077,245
615,2176,245
1046,2617,245
2858,600766,245
2288,600071,245
2584,600435,246
2578,600423,246
1413,300023,246
2314,600103,246
164,592,246
176,607,246
2430,600237,246
627,2188,246
1747,300366,247
866,2431,247
1267,2858,247
1804,300424,247
